"FinancialYear","LocationCode","Dataset","DatasetQF","NumberOfAdmissions","NumberOfDischarges","NumberOfStays","NumberOfPatients","NumberOfHospitalResidents","NumberOfHospitalResidentsQF"
"1997/98","N434H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N434H","Total","d",20,20,20,20,"0"," "
"1997/98","N451H","SMR01"," ",5,5,5,5,"",":"
"1997/98","N451H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N451H","Total","d",5,5,5,5,"0"," "
"1997/98","N453H","SMR01"," ",10,10,10,10,"",":"
"1997/98","N453H","SMR04"," ",20,20,20,10,"5"," "
"1997/98","N453H","Total","d",25,25,25,20,"5"," "
"1997/98","N491H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N491H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N491H","Total","d",0,0,0,0,"0"," "
"1997/98","N492H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N492H","SMR04"," ",45,35,15,25,"10"," "
"1997/98","N492H","Total","d",45,35,15,25,"10"," "
"1997/98","N494H","SMR01"," ",0,0,0,0,"",":"
"1997/98","N494H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","N494H","Total","d",0,0,0,0,"0"," "
"1997/98","R101H","SMR01"," ",35,35,35,30,"",":"
"1997/98","R101H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","R101H","Total","d",35,35,35,30,"0"," "
"1997/98","R102H","SMR01"," ",30,30,30,25,"",":"
"1997/98","R102H","SMR04"," ",0,0,0,0,"0"," "
"1997/98","R102H","Total","d",30,30,30,25,"0"," "
"1997/98","S102H","SMR01"," ",5,5,5,5,"",":"
